cohort,agent,t_offset_s
active,0,111180.636
active,0,111240.535
active,2,111251.063
active,1,111300.478
active,3,111421.038
active,0,111540.876
active,1,111540.949
active,2,111621.417
active,4,111629.81
active,4,111670.597
active,5,111671.116
active,1,111720.61
active,5,111791.304
active,5,111850.732
active,2,111851.355
active,7,111914.879
active,4,111919.058
active,1,112020.971
active,4,112031.152
active,1,112080.54
active,2,112091.106
active,3,112205.151
active,6,112205.55
active,8,112207.27
active,9,112210.492
active,5,112270.735
active,2,112331.004
active,3,112440.99
active,4,112450.919
active,8,112508.739
active,5,112511.24
active,2,112516.372
active,0,112561.013
active,5,112631.187
active,5,112750.752
active,0,112860.964
active,3,112920.56
active,0,112920.817
active,2,112931.267
active,5,112991.194
active,0,113040.846
active,0,113101.087
active,5,113111.119
active,4,113117.27
active,3,113281.021
active,2,113290.853
active,0,113401.255
active,5,113411.378
active,4,113420.276
active,0,113460.952
active,4,113470.927
active,5,113471.039
active,0,113520.984
active,3,113580.624
active,5,113711.627
active,9,113711.633
active,4,113718.936
active,5,113770.635
active,4,113770.901
active,3,113821.024
active,4,113830.982
active,2,113890.744
active,4,113890.97
active,5,113891.086
active,0,113940.963
active,1,113941.144
active,5,113950.648
active,0,114000.568
active,1,114000.825
active,6,114005.112
active,0,114060.748
active,1,114060.992
active,1,114120.917
active,2,114131.137
active,2,114190.474
active,1,114240.853
active,3,114305.826
active,4,114318.674
active,0,114420.992
active,5,114431.311
active,3,114480.824
active,0,114601.046
active,3,114604.699
active,8,114607.64
active,5,114611.281
active,4,114671.181
active,5,114731.251
active,9,114909.908
active,5,114911.526
active,0,115080.935
active,5,115151.188
active,3,115260.695
active,2,115570.962
active,4,115630.69
active,3,115681.015
active,3,115740.942
active,8,115807.69
active,2,115814.869
active,7,115815.159
active,4,115870.691
active,2,115930.724
active,3,115980.967
active,0,116040.993
active,2,116051.229
active,8,116108.818
active,4,116170.732
active,1,116221.099
active,4,116230.648
active,5,116231.2
active,7,116415.08
active,0,116580.641
active,0,116640.704
active,7,116714.86
active,4,116770.745
active,4,117019.97
active,0,117060.593
active,1,117180.78
active,0,117181.065
active,4,117190.892
active,6,117306.537
active,3,117308.311
active,8,117309.468
active,3,117360.672
active,5,117371.248
active,2,117491.171
active,3,117540.485
active,6,117605.117
active,9,117609.669
active,3,117720.748
active,2,117730.987
active,0,117780.931
active,4,117790.911
active,0,117840.763
active,2,117851.14
active,4,117919.078
active,2,118090.532
active,1,118140.891
active,2,118151.301
active,8,118206.248
active,0,118260.936
active,1,118440.52
active,2,118451.105
active,1,118501.194
active,1,118560.459
active,3,118740.623
active,0,118740.99
active,5,118750.805
active,2,118751.194
active,0,118800.925
active,9,118819.953
active,7,118824.317
active,4,118829.832
active,3,119040.711
active,0,119040.956
active,4,119051.194
active,0,119101.166
active,2,119231.106
active,2,119414.948
active,7,119415.221
active,4,119470.84
active,4,119530.946
active,3,119580.844
active,1,119580.846
active,5,119650.689
active,8,119708.767
active,0,119760.691
active,5,119771.441
active,4,119830.941
active,2,119890.835
active,5,119950.986
active,9,120009.957
active,1,120061.026
active,5,120070.775
active,2,120071.137
active,1,120121.077
active,0,120300.642
active,8,120307.918
active,9,120310.75
active,3,120360.705
active,3,120480.942
active,0,120480.946
active,5,120490.82
active,0,120540.987
active,0,120720.655
active,3,120720.849
active,4,120731.108
active,3,120780.989
active,1,120960.671
active,0,120961.132
active,3,120961.135
active,5,121030.738
active,3,121081.108
active,3,121140.643
active,0,121141.04
active,2,121151.153
active,8,121209.731
active,0,121501.201
active,9,121512.452
active,2,121516.633
active,5,121571.119
active,1,121741.118
active,8,121807.28
active,0,121861.035
active,0,121921.018
active,2,121990.82
active,5,121990.82
active,2,122114.582
active,0,122161.076
active,3,122161.166
active,3,122220.679
active,5,122230.913
active,2,122231.359
active,4,122231.361
active,2,122350.919
active,5,122351.271
active,5,122415.93
active,8,122420.091
active,3,122461.056
active,5,122470.845
active,1,122520.711
active,4,122590.633
active,4,122650.844
active,1,122701.248
active,0,122881.029
active,5,122891.148
active,9,123010.225
active,5,123011.225
active,1,123180.982
active,0,123241.135
active,1,123304.077
active,2,123316.695
active,1,123420.833
active,4,123430.796
active,3,123480.601
active,1,123480.931
active,5,123490.617
active,2,123491.198
active,4,123551.049
active,9,123610.58
active,4,123617.159
active,0,123720.85
active,1,123720.914
active,5,123730.614
active,2,123791.155
active,0,123900.54
active,2,123914.442
active,3,124020.996
active,3,124080.94
active,1,124080.994
active,0,124141.088
active,3,124321.147
active,5,124330.805
active,2,124391.12
active,1,124500.69
active,8,124508.71
active,9,124511.751
active,1,124620.997
active,5,124630.525
active,2,124631.046
active,0,124681.026
active,4,124691.168
active,6,124807.421
active,8,124808.741
active,0,124860.493
active,1,124920.614
active,0,125040.636
active,6,125107.398
active,8,125108.55
active,0,125160.992
active,3,125160.997
active,0,125220.746
active,3,125221.153
active,2,125230.792
active,1,125340.55
active,0,125340.806
active,3,125340.996
active,4,125350.887
active,2,125351.094
active,1,125401.215
active,4,125471.388
active,0,125521.056
active,1,125580.628
active,2,125591.398
active,4,125591.401
active,2,125650.884
active,1,125701.153
active,2,125770.985
active,3,125820.604
active,4,125831.13
active,3,125880.524
active,1,125880.915
active,4,125890.909
active,3,125941.051
active,6,126019.708
active,5,126130.589
active,4,126130.809
active,2,126314.543
active,4,126370.762
active,1,126421.115
active,0,126540.612
active,1,126601.287
active,5,126670.914
active,1,126720.602
active,0,126720.823
active,4,126731.365
active,0,126781.089
active,0,126961.06
active,4,127031.154
active,2,127150.951
active,5,127151.336
active,0,127201.134
active,6,127205.519
active,3,127260.586
active,0,127260.965
active,4,127270.638
active,2,127331.218
active,2,127390.895
active,5,127391.232
active,3,127441.114
active,5,127451.282
active,2,127451.297
active,8,127507.082
active,4,127519.658
active,5,127571.152
active,3,127620.957
active,0,127621.002
active,5,127630.637
active,5,127691.319
active,0,127801.231
active,1,127804.442
active,4,127821.881
active,5,127871.139
active,5,127930.644
active,4,127990.922
active,1,128040.429
active,0,128040.873
active,2,128051.286
active,1,128100.694
active,6,128105.158
active,2,128114.292
active,0,128220.635
active,2,128231.188
active,2,128290.881
active,0,128340.616
active,5,128411.762
active,3,128461.078
active,0,128520.965
active,5,128531.221
active,2,128531.223
active,0,128580.752
active,3,128580.853
active,1,128581.015
active,1,128640.562
active,9,128713.63
active,5,128830.944
active,3,128880.997
active,0,128881.0
active,5,129011.344
active,7,129015.121
active,1,129120.602
active,2,129191.083
active,3,129240.969
active,2,129251.258
active,5,129310.812
active,2,129314.849
active,4,129371.169
active,2,129371.177
active,2,129430.726
active,1,129481.038
active,0,129780.853
active,2,129791.154
active,3,129904.508
active,3,129961.087
active,4,129971.084
active,2,130031.217
active,0,130080.964
active,0,130140.892
active,1,130141.042
active,4,130150.664
active,1,130260.945
active,3,130261.081
active,2,130271.374
active,5,130271.379
active,2,130330.614
active,0,130500.55
active,4,130521.238
active,3,130560.946
active,3,130621.02
active,2,130630.552
active,3,130681.025
active,6,130805.039
active,5,130811.471
active,9,130812.08
active,2,130870.801
active,2,130931.134
active,5,130990.833
active,2,130991.096
active,3,131040.98
active,0,131100.678
active,2,131113.95
active,1,131280.534
active,0,131280.91
active,4,131351.003
active,5,131470.992
active,0,131580.802
active,2,131590.816
active,3,131704.741
active,6,131705.151
active,2,131714.883
active,1,131820.911
active,4,131830.946
active,5,131831.172
active,0,131941.004
active,4,131951.195
active,1,132000.756
active,5,132010.925
active,2,132070.546
active,4,132071.062
active,0,132301.296
active,5,132311.403
active,1,132540.871
active,4,132550.692
active,5,132611.039
active,3,132660.766
active,1,132840.751
active,4,132850.659
active,5,132851.116
active,6,132905.427
active,9,132910.401
active,4,132919.807
active,5,133090.616
active,7,133228.878
active,9,133232.668
active,4,133241.183
active,1,133380.85
active,5,133390.853
active,3,133440.777
active,0,133441.03
active,5,133451.182
active,4,133525.369
active,2,133630.825
active,0,133681.096
active,5,133750.934
active,1,133801.06
active,4,133824.929
active,3,133860.981
active,1,133920.7
active,3,133980.522
active,5,133990.85
active,2,134050.492
active,0,134160.635
active,0,134220.768
active,3,134221.129
active,2,134230.741
active,0,134340.738
active,3,134340.984
active,2,134351.097
active,4,134351.39
active,1,134401.118
active,2,134414.612
active,1,134521.078
active,5,134591.325
active,5,134651.096
active,3,134704.441
active,5,134831.178
active,2,134831.224
active,4,134831.427
active,5,134891.244
active,0,135001.142
active,3,135014.63
active,2,135026.056
active,1,135060.6
active,0,135120.714
active,1,135181.063
active,3,135480.48
active,1,135540.558
active,0,135600.91
active,1,135604.627
active,3,135661.16
active,5,135730.892
active,3,135781.274
active,4,135803.478
active,3,135841.047
active,0,135841.253
active,5,135917.521
active,4,135940.207
active,3,135964.101
active,5,136091.035
active,1,136140.937
active,5,136151.115
active,3,136210.172
active,3,136260.891
active,2,136273.911
active,0,136380.854
active,1,136440.568
active,3,136510.574
active,0,136561.22
active,4,136577.718
active,0,136680.615
active,5,136690.576
active,4,136697.199
active,1,136740.513
active,5,136751.121
active,1,136827.597
active,5,136831.357
active,8,136860.461
active,2,136934.032
active,0,136980.959
active,2,136994.47
active,3,137041.351
active,2,137053.819
active,0,137101.335
active,1,137105.163
active,7,137121.906
active,4,137129.298
active,0,137161.0
active,2,137234.212
active,3,137281.12
active,0,137401.016
active,4,137474.853
active,3,137641.134
active,3,137715.123
active,9,137729.893
active,1,137821.0
active,0,137821.348
active,1,137880.788
active,2,137954.399
active,9,138019.149
active,7,138022.918
active,0,138060.863
active,3,138061.036
active,4,138075.061
active,3,138181.235
active,1,138241.035
active,4,138328.971
active,1,138541.133
active,3,138615.852
active,7,138633.292
active,9,138633.96
active,1,138660.718
active,0,138660.72
active,2,138676.734
active,4,138735.143
active,1,138781.19
active,1,138841.304
active,2,138920.354
active,2,139033.819
active,2,139153.976
active,0,139201.09
active,0,139321.326
active,7,139526.051
active,1,139560.692
active,5,139571.087
active,3,139621.265
active,2,139635.617
active,4,139694.863
active,5,139751.23
active,5,139814.173
active,2,139821.911
active,0,139861.019
active,2,139873.796
active,1,139920.567
active,0,139920.931
active,3,139921.084
active,4,139934.53
active,5,140051.155
active,1,140161.089
active,3,140221.285
active,5,140290.996
active,0,140340.766
active,3,140491.891
active,2,140534.713
active,0,140580.717
active,2,140593.671
active,4,140728.921
active,3,140761.27
active,2,140834.048
active,5,140891.224
active,4,140895.042
active,0,141000.551
active,6,141012.64
active,3,141060.963
active,4,141074.648
active,0,141120.462
active,5,141131.193
active,2,141134.356
active,2,141194.196
active,7,141325.945
active,1,141480.709
active,5,141551.127
active,1,141604.385
active,6,141612.949
active,8,141615.538
active,9,141618.648
active,1,141660.88
active,5,141670.947
active,1,141720.949
active,2,141734.58
active,4,141735.171
active,5,141790.995
active,1,141840.852
active,5,141850.793
active,0,141900.647
active,0,141961.418
active,0,142020.818
active,3,142021.145
active,4,142034.854
active,4,142094.772
active,2,142153.967
active,3,142215.392
active,5,142217.878
active,9,142234.192
active,4,142240.73
active,2,142274.246
active,1,142320.668
active,2,142334.352
active,3,142380.981
active,4,142394.784
active,4,142454.72
active,5,142813.89
active,7,142821.979
active,3,142861.316
active,3,142921.389
active,5,142990.997
active,1,143108.411
active,4,143136.551
active,1,143160.987
active,3,143221.016
active,4,143295.472
active,0,143341.295
active,0,143460.782
active,3,143461.112
active,5,143530.62
active,2,143533.836
active,5,143651.346
active,0,143760.557
active,5,143830.68
active,5,143951.045
active,0,144060.993
active,4,144084.261
active,5,144190.767
active,2,144194.013
active,5,144251.165
active,6,144312.625
active,7,144322.352
active,2,144373.737
active,3,144421.249
active,1,144481.221
active,3,144541.196
active,0,144600.888
active,3,144610.36
active,8,144615.669
active,4,144734.793
active,2,144854.13
active,7,144925.645
active,4,145034.871
active,3,145141.154
active,5,145213.987
active,0,145261.022
active,2,145274.198
active,1,145321.059
active,4,145334.694
active,0,145380.569
active,5,145513.979
active,4,145526.988
active,7,145527.46
active,0,145560.542
active,2,145574.282
active,1,145620.525
active,5,145631.178
active,4,145634.449
active,3,145681.249
active,5,145751.295
active,4,145838.501
active,3,145864.191
active,3,145921.207
active,1,146104.659
active,5,146113.924
active,8,146114.909
active,9,146118.007
active,3,146160.709
active,4,146174.896
active,4,146235.076
active,3,146341.394
active,5,146350.638
active,1,146405.658
active,2,146474.666
active,2,146533.634
active,2,146593.924
active,3,146713.999
active,6,146717.307
active,8,146722.088
active,4,146736.07
active,1,146760.684
active,0,146760.687
active,2,146894.42
active,5,146951.058
active,1,147005.577
active,6,147014.371
active,8,147023.053
active,2,147134.139
active,5,147250.686
active,2,147253.761
active,5,147314.021
active,8,147315.629
active,0,147360.732
active,5,147370.703
active,2,147434.221
active,1,147480.89
active,2,147554.113
active,2,147636.719
active,9,147642.681
active,5,147670.877
active,4,147735.055
active,2,147793.666
active,6,147915.0
active,8,147919.38
active,9,147922.975
active,0,147960.605
active,3,148021.184
active,1,148140.496
active,0,148140.807
active,4,148154.839
active,3,148261.164
active,3,148321.099
active,1,148380.933
active,0,148441.205
active,7,148527.983
active,0,148561.039
active,4,148576.899
active,5,148691.188
active,4,148755.059
active,3,148809.718
active,0,148860.934
active,1,148920.868
active,3,148921.054
active,2,148993.998
active,7,149123.477
active,0,149160.971
active,2,149173.881
active,1,149220.786
active,2,149234.302
active,1,149341.251
active,8,149424.749
active,4,149535.17
active,7,149720.139
active,1,149820.542
active,3,149820.89
active,0,150000.551
active,5,150071.075
active,0,150121.287
active,3,150181.379
active,2,150194.011
active,4,150254.843
active,3,150364.1
active,5,150431.272
active,0,150601.377
active,8,150615.493
active,0,150660.507
active,5,150671.011
active,4,150795.175
active,4,150928.639
active,5,150971.238
active,5,151030.77
active,4,151034.726
active,0,151080.787
active,4,151154.243
active,0,151260.644
active,3,151264.063
active,0,151320.558
active,3,151320.937
active,1,151321.078
active,4,151334.964
active,1,151380.545
active,3,151381.075
active,6,151515.359
active,0,151620.827
active,3,151621.255
active,4,151694.534
active,5,151751.322
active,6,151813.297
active,7,151822.061
active,0,151920.757
active,4,151934.484
active,1,151981.107
active,4,151994.642
active,0,152100.922
active,6,152120.766
active,4,152138.551
active,3,152164.24
active,4,152354.536
active,0,152400.835
active,1,152405.26
active,9,152418.357
active,0,152520.649
active,3,152584.859
active,2,152593.677
active,5,152713.775
active,2,152719.671
active,7,152721.868
active,1,152761.063
active,0,152820.679
active,4,152834.843
active,0,152940.492
active,1,152940.952
active,4,152954.378
active,5,153017.24
active,1,153061.001
active,0,153061.003
active,0,153120.925
active,1,153240.98
active,2,153253.842
active,1,153304.727
active,2,153319.913
active,5,153370.813
active,2,153373.962
active,1,153540.656
active,3,153541.23
active,2,153619.594
active,2,153733.812
active,2,153794.028
active,4,153794.901
active,0,153840.663
active,5,153917.204
active,2,153974.665
active,1,154020.945
active,3,154021.39
active,1,154140.576
active,3,154141.186
active,0,154200.984
active,6,154213.794
active,7,154222.844
active,5,154271.08
active,2,154273.882
active,4,154274.887
active,3,154321.333
active,1,154441.083
active,1,154560.618
active,2,154574.699
active,5,154631.011
active,2,154633.991
active,1,154680.927
active,0,154681.009
active,3,154681.184
active,2,154836.961
active,4,154851.551
active,5,154871.092
active,2,154878.261
active,3,154924.3
active,2,154935.149
active,4,154936.913
active,5,154990.98
active,4,154997.568
active,0,155040.48
active,1,155106.961
active,5,155114.251
active,6,155115.961
active,5,155170.596
active,2,155174.682
active,4,155176.711
active,5,155291.554
active,1,155340.78
active,3,155343.917
active,5,155350.989
active,6,155415.811
active,7,155425.722
active,1,155460.72
active,4,155476.941
active,5,155531.166
active,4,155536.669
active,1,155580.778
active,5,155591.252
active,1,155640.947
active,3,155644.28
active,8,155724.379
active,9,155729.567
active,4,155784.11
active,4,155836.937
active,0,155880.765
active,1,155880.768
active,0,156001.048
active,9,156021.371
active,2,156024.718
active,5,156070.935
active,2,156074.737
active,0,156120.916
active,3,156124.349
active,5,156191.558
active,2,156195.436
active,3,156244.091
active,2,156255.115
active,0,156301.278
active,5,156315.43
active,6,156315.781
active,8,156319.649
active,9,156323.292
active,1,156421.115
active,5,156430.751
active,4,156437.099
active,1,156480.946
active,2,156494.591
active,4,156497.044
active,0,156540.55
active,1,156540.802
active,1,156614.155
active,5,156618.81
active,3,156663.862
active,2,156676.543
active,5,156731.441
active,1,156841.118
active,3,156844.48
active,4,156857.266
active,3,156911.669
active,8,156916.669
active,9,156920.151
active,2,156923.933
active,7,156924.25
active,5,157030.552
active,3,157084.439
active,4,157097.322
active,9,157222.772
active,4,157229.67
active,1,157380.71
active,4,157396.992
active,0,157441.148
active,0,157500.58
active,8,157540.017
active,1,157565.67
active,4,157636.75
active,2,157694.241
active,7,157829.42
active,7,158134.143
active,9,158137.982
active,5,158170.752
active,5,158291.397
active,4,158303.61
active,0,158460.7
active,2,158470.559
active,0,158640.642
active,1,158641.012
active,7,158724.151
active,1,158760.803
active,0,158761.182
active,3,158940.57
active,0,158940.872
active,5,158951.182
active,0,159000.862
active,6,159011.898
active,5,159071.325
active,4,159191.375
active,1,159241.046
active,5,159251.279
active,3,159361.003
active,1,159420.594
active,1,159540.835
active,0,159721.18
active,4,159791.231
active,1,159840.754
active,2,159850.995
active,5,159851.352
active,4,159851.424
active,8,159912.246
active,2,159914.71
active,1,159960.976
active,3,159960.979
active,5,159970.834
active,3,160021.245
active,2,160030.659
active,2,160090.938
active,4,160091.306
active,1,160140.728
active,0,160200.624
active,1,160203.836
active,6,160212.733
active,9,160217.754
active,7,160218.492
active,4,160226.86
active,1,160260.49
active,5,160270.961
active,4,160272.195
active,1,160381.218
active,0,160381.23
active,0,160441.008
active,7,160517.909
active,4,160571.346
active,0,160620.872
active,5,160631.077
active,0,160681.106
active,1,160801.289
active,6,160807.489
active,5,160811.329
active,4,160823.79
active,1,160860.952
active,5,160870.854
active,2,160871.529
active,4,160871.536
active,0,161041.235
active,1,161104.507
active,3,161107.093
active,5,161114.641
active,8,161114.648
active,4,161125.07
active,2,161290.742
active,9,161415.05
active,0,161461.101
active,5,161470.644
active,5,161531.271
active,2,161531.285
active,8,161707.949
active,5,161710.705
active,9,161712.248
active,2,161714.993
active,1,161760.599
active,0,161760.881
active,0,161941.005
active,2,161950.846
active,0,162001.274
active,2,162026.167
active,5,162071.316
active,0,162120.985
active,4,162191.539
active,1,162240.767
active,3,162240.954
active,2,162251.166
active,0,162300.781
active,1,162301.4
active,5,162311.032
active,4,162324.359
active,0,162420.951
active,1,162480.709
active,2,162490.576
active,1,162540.827
active,0,162601.127
active,1,162601.231
active,1,162721.011
active,0,162780.735
active,2,162790.892
active,5,162914.115
active,2,162919.771
active,0,162961.256
active,3,163020.495
active,4,163031.274
active,0,163141.07
active,5,163150.743
active,5,163210.883
active,1,163260.879
active,3,163320.919
active,2,163330.668
active,1,163380.526
active,3,163440.679
active,0,163500.866
active,1,163501.066
active,2,163571.034
active,2,163631.025
active,1,163740.996
active,6,163812.167
active,8,163812.599
active,5,163813.874
active,9,163815.421
active,1,163860.682
active,3,163860.689
active,2,163871.43
active,4,163871.484
active,2,163930.568
active,4,164051.414
active,0,164100.682
active,6,164107.297
active,7,164116.74
active,5,164230.594
active,2,164231.396
active,4,164231.402
active,5,164290.928
active,3,164340.904
active,4,164351.361
active,0,164400.456
active,9,164414.936
active,1,164521.055
active,2,164530.854
active,1,164581.032
active,5,164650.504
active,0,164700.507
active,7,164718.203
active,4,164723.659
active,2,164771.466
active,3,164880.94
active,1,164881.169
active,2,164890.793
active,4,164891.288
active,0,165061.194
active,1,165120.668
active,4,165131.203
active,3,165241.015
active,0,165241.018
active,3,165304.596
active,2,165314.863
active,5,165371.05
active,1,165420.713
active,3,165480.634
active,5,165490.788
active,0,165600.913
active,3,165613.338
active,1,165660.601
active,4,165731.583
active,5,165731.586
active,3,165780.509
active,5,165790.774
active,2,165851.358
active,4,165851.587
active,3,165904.151
active,8,165911.803
active,4,165924.568
active,0,166080.946
active,7,166217.034
active,0,166260.963
active,1,166380.874
active,3,166380.876
active,0,166381.083
active,4,166394.047
active,0,166440.894
active,0,166500.985
active,1,166504.049
active,5,166514.243
active,4,166524.439
active,1,166620.857
active,2,166630.951
active,6,166807.259
active,9,166814.42
active,7,166817.158
active,0,166860.869
active,0,166980.675
active,5,166991.358
active,0,167040.946
active,6,167107.707
active,4,167123.029
active,2,167231.169
active,1,167341.221
active,5,167351.318
active,8,167411.401
active,9,167415.266
active,2,167417.874
active,4,167531.438
active,6,167707.187
active,2,167715.561
active,0,167880.431
active,3,167940.69
active,0,167940.841
active,4,167951.109
active,4,168022.97
active,1,168181.13
active,0,168300.702
active,3,168306.459
active,6,168309.271
active,4,168323.632
active,0,168360.677
active,3,168420.996
active,0,168540.904
active,5,168551.094
active,0,168600.985
active,9,168615.117
active,7,168617.273
active,0,168661.138
active,4,168671.464
active,5,168731.645
active,5,168790.91
active,2,168791.338
active,4,168923.85
active,5,168970.868
active,0,169081.084
active,0,169140.966
active,2,169150.613
active,1,169210.284
active,6,169220.362
active,1,169260.957
active,3,169320.837
active,0,169381.103
active,0,169440.7
active,5,169451.205
active,1,169501.155
active,3,169504.392
active,1,169680.58
active,3,169680.923
active,5,169690.818
active,4,169751.444
active,1,169801.306
active,6,169807.866
active,2,169815.674
active,3,169920.987
active,0,169980.504
active,3,169980.945
active,5,169991.112
active,1,170041.035
active,1,170105.137
active,4,170231.458
active,0,170280.51
active,5,170351.416
active,2,170416.31
active,1,170460.751
active,2,170531.311
active,3,170640.742
active,0,170700.661
active,3,170881.156
active,0,170940.791
active,5,170950.746
active,2,170951.19
active,4,170953.652
active,1,171004.732
active,3,171006.148
active,5,171014.851
active,7,171018.389
active,4,171023.849
active,5,171071.242
active,0,171120.733
active,5,171191.173
active,1,171241.113
active,5,171311.028
active,2,171370.618
active,5,171371.014
active,1,171421.183
active,4,171491.28
active,2,171550.678
active,5,171610.709
active,4,171671.332
active,1,171720.969
active,1,171781.177
active,3,171781.187
active,5,171791.245
active,3,171840.561
active,1,171841.018
active,8,171912.251
active,3,172021.078
active,2,172091.421
active,2,172151.437
active,3,172260.516
active,1,172260.906
active,1,172320.631
active,0,172321.027
active,0,172381.078
active,3,172381.338
active,2,172391.132
active,3,172440.621
active,1,172441.093
active,2,172450.816
active,4,172451.286
active,3,172504.87
active,6,172507.869
active,8,172511.77
active,1,172560.602
active,0,172620.668
active,3,172680.918
active,1,172810.251
active,2,172825.686
active,0,172860.493
active,1,172860.686
active,4,172871.216
active,4,172930.841
active,2,172930.844
active,3,173040.898
active,0,173040.906
active,1,173101.381
active,1,173220.984
active,5,173230.646
active,0,173281.067
active,2,173531.098
active,4,173590.684
active,4,173650.618
active,2,173650.942
active,5,173711.591
active,9,173711.681
active,2,173770.596
active,4,173771.073
active,2,173830.951
active,0,173880.918
active,2,174014.669
active,7,174015.513
active,1,174240.806
active,2,174251.172
active,2,174314.266
active,7,174314.88
active,3,174540.747
active,3,174720.934
active,1,174720.936
active,4,174730.951
active,0,174840.919
active,5,174851.208
active,8,174906.729
active,9,174909.747
active,5,174971.027
active,4,175030.788
active,2,175091.224
active,0,175140.852
active,0,175200.9
active,6,175205.29
active,1,175261.075
active,5,175330.861
active,4,175390.958
active,2,175391.281
active,2,175450.525
active,1,175505.235
active,8,175508.969
active,2,175631.257
active,5,175751.294
active,5,175811.429
active,7,175814.742
active,1,175980.721
active,3,176041.131
active,4,176051.041
active,0,176101.311
active,1,176160.546
active,0,176160.861
active,1,176220.899
active,4,176231.146
active,2,176231.148
active,2,176290.636
active,5,176415.234
active,6,176419.169
active,2,176422.454
active,7,176423.849
active,3,176460.8
active,5,176470.903
active,0,176520.879
active,1,176640.743
active,3,176641.156
active,2,176770.584
active,4,176770.928
active,5,176771.037
active,5,176830.66
active,9,177009.45
active,3,177060.985
active,4,177070.846
active,3,177121.143
active,4,177131.147
active,5,177131.218
active,0,177240.615
active,2,177250.618
active,8,177308.902
active,2,177316.408
active,4,177319.863
active,1,177360.62
active,0,177420.789
active,5,177431.489
active,1,177540.571
active,6,177606.938
active,5,177611.577
active,9,177611.952
active,4,177619.641
active,0,177720.705
active,1,177780.641
active,0,177900.723
active,6,177905.971
active,2,177970.582
active,5,177971.419
active,0,178020.961
active,4,178030.918
active,2,178091.156
active,3,178140.845
active,2,178150.626
active,6,178208.87
active,4,178221.166
active,0,178260.905
active,3,178320.917
active,4,178331.327
active,6,178505.121
active,5,178511.341
active,7,178514.899
active,3,178621.109
active,3,178680.58
active,3,178804.627
active,8,178807.428
active,3,178981.151
active,5,178991.375
active,0,179100.719
active,1,179103.738
active,5,179111.697
active,9,179112.021
active,0,179161.061
active,1,179161.064
active,3,179280.534
active,8,179406.908
active,9,179410.371
active,3,179460.787
active,2,179531.208
active,3,179581.302
active,1,179640.754
active,3,179760.849
active,4,179771.297
active,4,179830.592
active,2,180071.195
active,0,180120.569
active,1,180120.824
active,3,180240.95
active,6,180305.115
active,4,180370.771
active,2,180371.122
active,2,180490.585
active,4,180551.315
active,6,180605.283
active,8,180607.249
active,2,180671.188
active,3,180720.803
active,3,180907.608
active,6,180908.235
active,1,180961.094
active,3,181080.974
active,0,181200.499
active,1,181200.972
active,5,181270.794
active,2,181331.026
active,3,181380.986
active,0,181381.216
active,4,181450.869
active,5,181511.008
active,1,181620.516
active,4,181630.77
active,1,181740.757
active,0,181741.181
active,3,181921.016
active,5,181931.221
active,1,181980.857
active,4,182050.863
active,3,182161.119
active,2,182171.278
active,5,182290.859
active,2,182291.181
active,6,182405.341
active,7,182414.769
active,0,182460.492
active,1,182520.942
active,3,182520.944
active,3,182640.838
active,6,182707.951
active,2,182716.581
active,0,182761.019
active,2,182771.125
active,1,182821.032
active,0,182880.58
active,5,183011.595
active,4,183070.765
active,3,183120.814
active,5,183131.124
active,0,183180.954
active,1,183240.713
active,1,183301.491
active,0,183360.914
active,3,183480.977
active,2,183490.513
active,3,183609.723
active,1,183721.075
active,3,183781.144
active,1,183901.136
active,6,183905.251
active,8,183907.432
active,5,183911.111
active,1,184081.109
active,5,184091.192
active,4,184150.627
active,6,184205.15
active,4,184218.569
active,1,184380.965
active,3,184380.968
active,2,184390.809
active,5,184391.158
active,4,184391.159
active,3,184441.042
active,4,184451.164
active,6,184507.06
active,5,184511.335
active,5,184570.934
active,2,184630.779
active,5,184630.782
active,0,184680.697
active,2,184690.856
active,0,184800.729
active,3,184860.924
active,1,184921.001
active,4,185050.894
active,5,185110.911
active,2,185115.324
active,7,185115.582
active,2,185171.24
active,5,185231.047
active,3,185280.98
active,2,185291.283
active,1,185340.578
active,0,185340.92
active,4,185350.924
active,0,185400.764
active,4,185420.131
active,3,185461.001
active,3,185580.745
active,1,185581.029
active,0,185640.894
active,0,185701.01
active,5,185711.408
active,2,185714.239
active,4,185717.485
active,3,185760.72
active,1,185881.179
active,3,186004.353
active,8,186007.157
active,9,186008.732
active,5,186071.026
active,0,186180.529
active,2,186251.14
active,1,186304.367
active,0,186480.541
active,1,186480.868
active,0,186540.84
active,2,186550.844
active,2,186614.344
active,4,186618.08
active,1,186661.174
active,1,186720.809
active,1,186780.75
active,4,186970.901
active,4,187091.015
active,8,187220.312
active,9,187221.017
active,1,187260.478
active,0,187260.656
active,3,187320.678
active,1,187321.131
active,2,187331.17
active,4,187331.28
active,4,187451.296
active,5,187511.573
active,2,187514.399
active,4,187631.098
active,2,187631.161
active,1,187741.173
active,4,187750.918
active,3,187804.898
active,7,187814.872
active,3,187921.064
active,3,187981.055
active,1,188104.166
active,6,188108.132
active,8,188108.568
active,0,188161.127
active,2,188171.305
active,1,188280.634
active,5,188290.699
active,2,188351.046
active,6,188405.449
active,9,188408.309
active,2,188414.464
active,4,188470.57
active,5,188471.15
active,4,188530.555
active,1,188580.851
active,2,188591.297
active,4,188650.627
active,5,188650.927
active,6,188705.41
active,1,188760.565
