cohort,agent,t_offset_s
active,3,17280.647
active,0,17280.894
active,2,17290.964
active,5,17340.755
active,0,17401.226
active,6,17405.663
active,9,17408.805
active,7,17415.054
active,3,17460.976
active,0,17461.18
active,0,17521.046
active,3,17521.193
active,4,17530.884
active,1,17580.778
active,4,17591.261
active,3,17640.726
active,1,17640.729
active,0,17640.914
active,4,17650.707
active,7,17715.232
active,4,17717.971
active,0,17821.296
active,5,17950.962
active,5,18015.012
active,0,18060.592
active,3,18060.782
active,0,18300.989
active,0,18420.722
active,2,18431.238
active,2,18551.23
active,5,18610.867
active,5,18671.077
active,4,18790.81
active,3,18841.047
active,4,18851.288
active,5,18971.371
active,2,19031.071
active,5,19091.25
active,3,19204.564
active,4,19330.863
active,1,19380.911
active,2,19390.582
active,3,19504.971
active,7,19515.582
active,4,19518.369
active,3,19560.494
active,1,19620.526
active,5,19630.807
active,0,19680.786
active,5,19691.041
active,1,19740.761
active,8,19808.143
active,7,19817.202
active,4,19930.951
active,3,19980.643
active,0,20040.837
active,8,20107.529
active,9,20107.929
active,3,20160.784
active,0,20160.788
active,3,20220.738
active,3,20280.502
active,0,20340.789
active,1,20401.276
active,2,20531.05
active,3,20580.582
active,5,20590.783
active,5,20650.582
active,4,20651.053
active,2,20715.717
active,4,20718.589
active,0,20821.0
active,3,20940.715
active,4,21018.981
active,3,21060.553
active,2,21130.689
active,0,21181.047
active,3,21181.185
active,1,21181.197
active,2,21190.851
active,2,21251.114
active,4,21317.784
active,3,21360.624
active,0,21360.942
active,5,21550.915
active,5,21615.583
active,6,21618.002
active,2,21622.481
active,4,21671.534
active,4,21790.561
active,3,21840.894
active,3,21904.496
active,2,21970.57
active,0,22020.714
active,1,22080.52
active,5,22151.291
active,0,22200.777
active,3,22204.511
active,8,22207.563
active,3,22320.964
active,2,22331.119
active,1,22381.15
active,2,22516.319
active,7,22517.414
active,3,22560.924
active,2,22571.05
active,3,22621.112
active,5,22631.242
active,4,22751.407
active,0,22860.6
active,1,22861.092
active,3,22861.095
active,2,22870.76
active,5,22871.318
active,2,22931.311
active,5,22991.198
active,4,22991.202
active,5,23050.898
active,4,23051.027
active,8,23107.42
active,4,23118.137
active,0,23221.033
active,3,23280.569
active,3,23341.031
active,4,23350.605
active,0,23401.224
active,8,23409.348
active,4,23421.949
active,0,23520.987
active,3,23521.042
active,1,23521.046
active,4,23530.92
active,5,23650.959
active,3,23820.615
active,1,23820.996
active,3,23880.57
active,5,24011.194
active,5,24071.075
active,2,24071.078
active,1,24304.469
active,3,24305.138
active,0,24420.863
active,4,24431.039
active,0,24480.451
active,4,24490.531
active,2,24490.929
active,0,24541.03
active,0,24600.974
active,8,24607.268
active,7,24614.92
active,1,24660.542
active,4,24671.044
active,5,24851.097
active,2,24971.199
active,5,25030.73
active,0,25080.956
active,5,25150.523
active,4,25150.889
active,2,25151.172
active,0,25200.92
active,3,25210.252
active,7,25223.921
active,2,25270.933
active,4,25330.863
active,2,25331.217
active,0,25380.513
active,4,25518.078
active,1,25621.131
active,2,25631.204
active,1,25740.601
active,3,25741.058
active,5,25751.342
active,1,25801.116
active,6,25806.818
active,4,25820.329
active,1,25921.055
active,5,26051.307
active,0,26101.45
active,8,26107.621
active,2,26231.217
active,6,26405.401
active,2,26414.432
active,0,26460.948
active,2,26531.235
active,4,26590.869
active,5,26591.288
active,4,26650.924
active,5,26711.184
active,3,26760.969
active,0,27000.889
active,3,27005.315
active,8,27008.708
active,9,27011.3
active,5,27251.25
active,0,27301.171
active,8,27307.828
active,2,27314.654
active,4,27319.229
active,1,27360.662
active,3,27420.615
active,1,27480.919
active,3,27540.69
active,2,27550.832
active,8,27606.961
active,4,27617.52
active,1,27841.197
active,1,27903.554
active,3,27904.891
active,0,27960.66
active,1,28020.782
active,3,28020.834
active,1,28081.184
active,1,28140.824
active,5,28210.994
active,4,28217.452
active,4,28271.276
active,0,28320.583
active,3,28320.935
active,4,28330.896
active,5,28331.083
active,1,28440.506
active,3,28440.73
active,1,28500.694
active,3,28503.401
active,2,28514.882
active,4,28570.697
active,5,28571.105
active,2,28630.812
active,5,28631.048
active,2,28823.921
active,1,28860.605
active,4,28870.979
active,1,28980.93
active,4,28990.677
active,0,29040.461
active,5,29050.821
active,9,29108.629
active,2,29171.143
active,5,29171.147
active,3,29340.549
active,1,29400.617
active,8,29406.357
active,0,29460.821
active,5,29590.828
active,4,29651.311
active,8,29710.433
active,2,29716.62
active,7,29717.337
active,3,29760.856
active,2,29830.73
active,4,29831.016
active,4,29891.026
active,1,29940.78
active,5,29950.996
active,4,29950.999
active,3,30181.124
active,2,30251.167
active,0,30300.929
active,5,30370.686
active,2,30430.612
active,1,30480.903
active,0,30480.906
active,5,30490.775
active,0,30540.997
active,3,30541.088
active,0,30600.63
active,2,30617.002
active,4,30620.321
active,3,30660.723
active,2,30670.87
active,1,30721.033
active,1,30780.896
active,2,30851.045
active,2,30914.17
active,1,30960.6
active,0,31020.953
active,5,31150.677
active,8,31208.124
active,6,31208.127
active,3,31260.483
active,0,31440.627
active,3,31441.261
active,6,31507.799
active,0,31561.233
active,4,31691.016
active,4,31751.026
active,3,31803.603
active,4,31870.524
active,1,31921.206
active,5,31930.73
active,0,32040.785
active,2,32050.764
active,8,32107.198
active,2,32425.746
active,4,32470.531
active,1,32520.657
active,0,32520.884
active,4,32531.286
active,2,32590.942
active,5,32591.168
active,0,32701.283
active,4,32718.029
active,1,32760.969
active,3,32820.585
active,2,32831.382
active,0,32881.055
active,2,32951.461
active,8,33008.15
active,5,33011.435
active,5,33070.646
active,3,33181.12
active,2,33191.059
active,3,33241.06
active,0,33300.606
active,1,33303.954
active,6,33307.417
active,2,33316.396
active,7,33316.879
active,2,33370.887
active,4,33490.867
active,2,33491.046
active,0,33540.605
active,8,33610.372
active,9,33611.775
active,5,33670.921
active,1,33721.177
active,3,33780.534
active,0,33780.882
active,5,33851.033
active,3,33904.734
active,6,33905.15
active,7,33915.049
active,5,33970.934
active,1,34020.838
active,5,34031.147
active,8,34208.499
active,3,34260.958
active,1,34261.044
active,5,34271.015
active,0,34320.56
active,0,34440.823
active,4,34451.413
active,7,34514.283
active,2,34514.285
active,5,34570.938
active,4,34571.085
active,5,34750.583
active,0,34860.91
active,3,35040.833
active,5,35050.712
active,4,35050.715
active,2,35051.046
active,6,35107.148
active,2,35116.269
active,4,35171.227
active,5,35230.511
active,3,35281.097
active,1,35281.164
active,4,35290.799
active,1,35340.604
active,2,35350.493
active,0,35401.234
active,6,35405.823
active,4,35418.829
active,2,35470.7
active,1,35580.985
active,3,35580.988
active,2,35591.098
active,1,35641.225
active,5,35650.779
active,4,35651.117
active,2,35714.924
active,2,35770.661
active,3,35820.553
active,1,35820.914
active,3,35881.264
active,3,35940.66
active,1,35940.886
active,5,35951.327
active,0,36120.61
active,4,36130.591
active,2,36191.224
active,3,36240.91
active,4,36250.589
active,3,36360.481
active,1,36360.834
active,0,36420.776
active,2,36490.932
active,4,36551.205
active,1,36660.563
active,0,36660.937
active,3,36840.583
active,1,36961.018
active,3,36961.182
active,5,37150.72
active,0,37440.682
active,1,37500.603
active,0,37501.151
active,2,37514.227
active,2,37631.107
active,1,37740.631
active,0,37740.843
active,1,37805.684
active,3,37920.933
active,5,37930.576
active,2,37930.951
active,1,37980.864
active,2,37990.789
active,0,38040.752
active,0,38100.54
active,1,38281.118
active,0,38400.526
active,1,38401.058
active,6,38405.069
active,8,38407.74
active,4,38417.653
active,3,38460.612
active,5,38470.802
active,2,38591.087
active,4,38591.263
active,5,38650.618
active,0,38701.236
active,1,38704.754
active,3,38760.521
active,4,38950.628
active,2,38950.959
active,4,39019.55
active,4,39070.598
active,5,39071.196
active,3,39121.012
active,6,39305.55
active,4,39491.137
active,2,39551.336
active,6,39620.569
active,2,39671.148
active,2,39730.636
active,0,39780.409
active,0,39900.922
active,1,39900.926
active,8,39906.552
active,2,39913.934
active,1,40020.807
active,1,40081.02
active,5,40150.793
active,1,40201.417
active,3,40204.555
active,5,40211.463
active,4,40218.288
active,5,40271.289
active,0,40321.036
active,4,40390.698
active,3,40440.552
active,5,40450.918
active,3,40505.811
active,9,40512.001
active,0,40621.099
active,1,40680.714
active,0,40801.304
active,3,40980.637
active,0,41040.79
active,2,41051.274
active,3,41160.988
active,1,41220.861
active,0,41220.862
active,2,41230.552
active,5,41231.15
active,0,41280.988
active,4,41290.792
active,1,41340.603
active,3,41341.093
active,7,41417.083
active,5,41471.049
active,3,41520.974
active,1,41520.976
active,5,41530.582
active,2,41714.621
active,2,41771.143
active,1,41820.555
active,3,41820.874
active,0,41880.742
active,3,41880.861
active,5,41890.688
active,3,41940.65
active,1,42060.495
active,0,42180.992
active,2,42190.79
active,2,42251.004
active,8,42308.78
active,2,42315.951
active,4,42320.209
active,3,42420.762
active,4,42430.899
active,1,42480.991
active,5,42491.051
active,0,42541.242
active,5,42550.537
active,6,42605.718
active,1,42660.793
active,0,42720.53
active,1,42720.918
active,3,42720.926
active,4,42731.109
active,5,42731.221
active,3,42960.582
active,2,42970.546
active,4,42971.081
active,2,43031.109
active,3,43080.895
active,1,43140.962
active,5,43150.533
active,1,43209.823
active,8,43225.251
active,4,43270.864
active,0,43321.107
active,5,43390.788
active,0,43441.105
active,4,43450.522
active,0,43501.219
active,1,43501.528
active,3,43505.123
active,6,43505.967
active,8,43507.825
active,5,43511.06
active,2,43515.163
active,4,43520.796
active,0,43560.798
active,4,43630.969
active,4,43690.619
active,0,43740.93
active,2,43751.293
active,0,43800.532
active,8,43807.347
active,5,43810.849
active,2,43814.213
active,4,43819.466
active,0,43860.924
active,4,43871.279
active,3,44040.613
active,0,44040.96
active,1,44103.439
active,2,44116.121
active,1,44220.909
active,0,44340.764
active,3,44340.854
active,2,44350.695
active,5,44351.235
active,1,44401.193
active,3,44404.398
active,6,44406.988
active,4,44591.191
active,1,44641.014
active,3,44703.399
active,4,44719.099
active,1,44880.593
active,2,44890.879
active,4,44951.044
active,5,45014.771
active,6,45016.188
active,9,45020.128
active,4,45029.468
active,0,45060.807
active,2,45130.801
active,3,45180.767
active,2,45190.821
active,4,45250.698
active,2,45251.03
active,1,45300.481
active,2,45371.151
active,3,45421.142
active,5,45430.584
active,0,45481.153
